CodiceSoggetto,NumeroSoggetto,Condizione,BlockIdx,Trial,Modality,Stretch,BallsPopped,TrialDuration_s
ADPA,1,1,1,1,Pinza,Baseline,0,3,00
ADPA,1,1,1,2,Pinza,Baseline,0,3,00
ADPA,1,1,1,3,Pinza,Baseline,0,3,00
ADPA,1,1,1,4,Pinza,Baseline,0,3,00
ADPA,1,1,1,5,Pinza,Baseline,0,3,00
ADPA,1,1,2,1,Pinza,Stretch1,0,3,00
ADPA,1,1,2,2,Pinza,Stretch1,0,3,00
ADPA,1,1,2,3,Pinza,Stretch1,0,3,00
ADPA,1,1,2,4,Pinza,Stretch1,0,3,00
