CodiceSoggetto,NumeroSoggetto,Condizione,RigId,Trial,Type,Response,Time(ms)
EDME,2,1,ManoRig,1,Sync_medio,NA,NA
EDME,2,1,ManoRig,2,Sync_indice,NA,NA
EDME,2,1,ManoRig,3,Async_indice,NA,NA
EDME,2,1,ManoRig,4,Sync_medio,NA,NA
EDME,2,1,ManoRig,5,Async_indice,NA,NA
EDME,2,1,ManoRig,6,Sync_medio,NA,NA
EDME,2,1,ManoRig,7,Sync_indice,NA,NA
EDME,2,1,ManoRig,8,Async_medio,NA,NA
EDME,2,1,ManoRig,9,Sync_indice,NA,NA
EDME,2,1,ManoRig,10,Sync_indice,NA,NA
EDME,2,1,ManoRig,1,Async_medio,indice,1031
EDME,2,1,ManoRig,2,Sync_indice,medio,599
EDME,2,1,ManoRig,3,Async_indice,medio,557
EDME,2,1,ManoRig,4,Sync_medio,indice,516
EDME,2,1,ManoRig,5,Sync_indice,medio,349
EDME,2,1,ManoRig,6,Sync_indice,medio,446
EDME,2,1,ManoRig,7,Async_indice,medio,390
EDME,2,1,ManoRig,8,Async_medio,indice,377
EDME,2,1,ManoRig,9,Sync_medio,indice,502
EDME,2,1,ManoRig,10,Sync_medio,indice,487
EDME,2,1,ManoRig,1,Async_indice,medio,988
EDME,2,1,ManoRig,2,Sync_indice,medio,739
EDME,2,1,ManoRig,3,Sync_indice,medio,459
EDME,2,1,ManoRig,4,Async_medio,indice,378
EDME,2,1,ManoRig,5,Async_indice,medio,473
EDME,2,1,ManoRig,6,Sync_indice,medio,419
EDME,2,1,ManoRig,7,Async_indice,medio,376
EDME,2,1,ManoRig,8,Async_indice,medio,363
EDME,2,1,ManoRig,9,Async_indice,medio,348
EDME,2,1,ManoRig,10,Sync_medio,indice,446
EDME,2,1,ManoRig,1,Async_medio,indice,697
EDME,2,1,ManoRig,2,Async_indice,medio,459
EDME,2,1,ManoRig,3,Async_indice,medio,488
EDME,2,1,ManoRig,4,Sync_medio,indice,335
EDME,2,1,ManoRig,5,Async_medio,indice,349
EDME,2,1,ManoRig,6,Async_indice,medio,430
EDME,2,1,ManoRig,7,Sync_indice,medio,460
EDME,2,1,ManoRig,8,Sync_medio,indice,515
EDME,2,1,ManoRig,9,Sync_indice,medio,418
EDME,2,1,ManoRig,10,Sync_medio,indice,391
